code,income
E02002604,810
E02002605,790
E02002606,590
E02002607,570
E02002608,710
E02002609,590
E02002610,930
E02002611,880
E02002612,890
E02002613,1260
E02002614,1180
E02003965,600
E02003966,840
E02003967,660
E02003968,610
E02003969,530
E02003970,800
E02003971,770
E02003972,640
E02003973,510
E02003974,570
E02003975,750
E02003976,680
E02003977,740
E02003978,630
E02003979,740
E02003980,480
E02003981,780
E02003982,730
E02003983,560
E02003984,430
E02003985,560
E02003986,580
E02003987,670
E02003988,680
E02003989,820
E02003990,860
E02003991,750
E02003992,620
E02003993,810
E02003994,540
E02003995,530
E02003996,610
E02003997,520
E02003998,560
E02003999,800
E02004000,650
E02004001,550
E02004002,790
E02004003,670
E02004004,610
E02004005,670
E02004006,800
E02004007,610
E02004008,740
E02004009,830
E02004010,630
E02004011,700
E02004012,780
E02004013,700
E02004014,710
E02004015,680
E02004016,660
E02004017,740
E02004018,650
E02004019,770
E02004020,780
E02004021,740
E02004022,780
E02004023,660
E02004024,860
E02004025,690
E02004026,650
E02004027,620
E02004028,770
E02000984,1000
E02000985,880
E02000986,740
E02000987,570
E02000988,590
E02000989,740
E02000990,810
E02000991,680
E02000992,730
E02000993,530
E02000994,460
E02000995,680
E02000996,510
E02000997,760
E02000998,510
E02000999,370
E02001000,540
E02001001,740
E02001002,610
E02001003,950
E02001004,500
E02001005,560
E02001006,590
E02001007,560
E02001008,540
E02001009,510
E02001010,530
E02001011,820
E02001012,690
E02001013,820
E02001014,630
E02001015,490
E02001016,560
E02001017,590
E02001018,890
E02001019,700
E02001020,730
E02001021,990
E02001022,610
E02001023,740
E02001024,800
E02001025,540
E02001026,570
E02001027,630
E02001028,770
E02001029,600
E02001030,810
E02001031,650
E02001032,690
E02001033,650
E02001034,470
E02001035,830
E02001036,710
E02001037,810
E02001038,620
E02001039,680
E02001040,780
E02001041,650
E02001042,700
E02001043,770
E02001044,1020
E02001045,480
E02001046,610
E02001047,560
E02001048,630
E02001049,610
E02001050,520
E02001051,610
E02001052,630
E02001053,410
E02001055,490
E02001056,460
E02001057,510
E02001059,490
E02001061,510
E02001062,460
E02001063,590
E02001064,520
E02001065,560
E02001066,540
E02001067,540
E02001068,500
E02001069,590
E02001070,660
E02001071,550
E02001072,730
E02001073,930
E02001074,660
E02001075,660
E02001076,740
E02001077,910
E02001078,700
E02001079,720
E02001080,740
E02001081,900
E02001082,930
E02001083,880
E02001084,830
E02001085,640
E02001086,770
E02001087,1000
E02001088,610
E02001089,920
E02001090,730
E02001091,590
E02001092,600
E02001093,610
E02001094,490
E02001095,570
E02001096,590
E02001097,600
E02006902,630
E02006912,810
E02006913,610
E02006914,630
E02006915,600
E02006916,640
E02006917,940
E02001098,630
E02001099,650
E02001100,690
E02001101,740
E02001102,790
E02001103,800
E02001104,780
E02001105,620
E02001106,600
E02001107,750
E02001108,540
E02001109,550
E02001110,900
E02001111,400
E02001112,910
E02001113,620
E02001114,590
E02001115,660
E02001116,620
E02001117,870
E02001118,820
E02001119,690
E02001121,540
E02001123,550
E02001124,480
E02001125,670
E02001126,530
E02001127,550
E02001128,610
E02001129,520
E02001130,670
E02001131,650
E02006860,650
E02001132,640
E02001133,790
E02001134,770
E02001135,500
E02001136,670
E02001137,930
E02001138,780
E02001139,580
E02001140,600
E02001141,400
E02001142,830
E02001143,590
E02001144,650
E02001145,670
E02001146,580
