code,White (%),Mixed/multiple ethnic groups (%),Asian/Asian British (%),Black/African/Caribbean/Black British (%),Other ethnic group (%),BAME (%),United Kingdom,Not United Kingdom,United Kingdom (%),Not United Kingdom (%)
E02000126,33.1189710610932,7.02250803858521,11.459807073955,39.3183279742765,9.08038585209003,66.8810289389068,3920,3855,50.4180064308682,49.5819935691318
E02000127,80.5139691147,3.94907461982789,5.0689614523164,9.65460332429565,0.813391488860073,19.4860308853,7157,1326,84.3687374749499,15.6312625250501
E02000128,88.3328763367151,3.11214697011242,4.70249520153551,2.79681930353715,1.05566218809981,11.6671236632849,6473,821,88.7441732931177,11.2558267068824
E02000130,69.4970937578974,6.17892342683851,6.57063431892848,16.350770785949,1.40257771038666,30.5029062421026,5951,1963,75.195855446045,24.804144553955
E02000131,62.6200580746035,8.05226714317623,5.9414786687514,21.9566674112129,1.42952870225598,37.3799419253965,6197,2757,69.2092919365647,30.7907080634353
E02000132,80.4832496790008,4.23718921442745,6.98027314112291,6.79350998015642,1.5057779852924,19.5167503209992,6740,1827,78.6739815571378,21.3260184428621
E02000133,87.9138038725796,2.10285238392671,7.13095981678118,2.08203206329377,0.770351863418697,12.0861961274204,8242,1364,85.8005413283365,14.1994586716635
E02000134,83.022370741669,4.6690801076766,5.85723568179709,5.1239209133946,1.32739255546273,16.977629258331,8735,2038,81.0823354683004,18.9176645316996
E02000135,56.5029792479967,7.50975960550647,5.8557633038833,28.3542223135402,1.77727552907335,43.4970207520033,6795,2939,69.8068625436614,30.1931374563386
E02000136,84.9511173184358,2.30446927374302,8.06564245810056,3.92807262569832,0.750698324022346,15.0488826815642,4996,732,87.2206703910615,12.7793296089385
E02000137,84.8198313314592,4.11449016100179,5.86506516739075,3.96115512394582,1.2394582162024,15.1801686685408,6453,1373,82.4559161768464,17.5440838231536
E02000138,85.7358870967742,3.515625,5.74596774193548,3.88104838709677,1.12147177419355,14.2641129032258,6463,1473,81.4390120967742,18.5609879032258
E02000139,83.1548599670511,5.17572762218561,4.44810543657331,6.63097199341021,0.590334980779791,16.8451400329489,6152,1132,84.4590884129599,15.5409115870401
E02000140,84.3427434398707,3.28317373461012,3.30804626290262,8.44422335530407,0.621813207312523,15.6572565601293,7121,920,88.5586369854496,11.4413630145504
E02000141,69.6253602305476,6.39769452449568,6.38328530259366,16.5994236311239,0.994236311239193,30.3746397694524,5526,1414,79.6253602305475,20.3746397694524
E02000142,85.2142426071213,2.96922148461074,6.95232347616174,3.45202172601086,1.41219070609535,14.7857573928787,6967,1318,84.091732045866,15.908267954134
E02000144,80.4054832392582,4.58472526206658,8.24789770763737,4.73447759474715,2.02741619629075,19.5945167607419,6844,1837,78.8388434512153,21.1611565487847
E02000145,80.6579272817215,3.73485035864457,3.40093989611674,11.3653227801138,0.840959683403413,19.3420727182785,6921,1165,85.5923818946327,14.4076181053673
E02000146,86.9173474291206,3.83229216722729,5.35800096107641,3.29168668909178,0.600672753483902,13.0826525708794,7190,1134,86.3767419509851,13.6232580490149
E02000147,85.7573095746016,2.9740243443343,7.12761952566194,2.52227381101769,1.61877274438449,14.2426904253984,6871,1098,86.2216087338437,13.7783912661564
E02000148,88.6560364464692,2.23234624145786,5.87699316628702,2.36902050113895,0.865603644646925,11.3439635535308,5786,799,87.8663629460896,12.1336370539104
E02000149,88.090295796575,2.42605085625324,3.76232485729113,5.15049299429165,0.570835495588998,11.909704203425,6867,841,89.0892579138557,10.9107420861443
E02000150,83.5828044545563,4.27493713327745,4.89761705185008,6.21482457190756,1.02981678840857,16.4171955454437,7284,1067,87.2230870554425,12.7769129445575
E02000151,91.1011354634275,1.92764721415368,5.14919461315025,1.37311856350673,0.448904145761817,8.89886453657248,6782,792,89.5431740163718,10.4568259836282
E02000152,83.9926962872794,4.15398660986001,4.96043822276324,6.11685940353013,0.776019476567255,16.0073037127206,5663,909,86.1685940353013,13.8314059646987
E02000153,91.4893617021277,2.46292714377821,3.32688588007737,2.37266279819471,0.34816247582205,8.51063829787234,7154,601,92.2501611863314,7.7498388136686
E02000154,86.9581605729363,2.36210579218495,7.18683251664782,2.97776102525443,0.515140092976505,13.0418394270637,6928,1031,87.0461113205177,12.9538886794823
E02000155,89.6307023895728,1.85372918175235,3.98262128892107,4.01158580738595,0.521361332367849,10.3692976104272,6206,699,89.8769007965243,10.1230992034757
E02000156,89.391433768811,3.14205391103026,4.29138415743344,2.54671738051927,0.628410782206053,10.608566231189,10911,1183,90.2182900611874,9.78170993881263
E02000157,91.9763937719739,1.77046710195881,4.64590657960824,0.966850828729282,0.640381717729784,8.02360622802612,7225,739,90.7207433450527,9.27925665494726
E02000158,87.7919608908202,2.89244975556763,3.38131450298751,5.33677349266703,0.597501357957632,12.2080391091798,6508,856,88.3758826724606,11.6241173275394
E02000159,90.237815619495,2.12859659424545,4.78567234292425,2.01115678214915,0.836758661186142,9.76218438050499,6114,698,89.7533763945978,10.2466236054022
E02000160,93.5336048879837,2.20213849287169,2.10030549898167,1.51476578411405,0.64918533604888,6.46639511201629,7216,640,91.8533604887984,8.14663951120163
E02000161,88.3234244946492,1.96195005945303,6.51605231866825,2.27110582639715,0.927467300832342,11.6765755053508,7474,936,88.8703923900119,11.1296076099881
E02000162,90.5423576871358,1.98715075451965,5.1994621246078,1.70327207530256,0.567757358434185,9.45764231286419,6047,646,90.3481249066189,9.65187509338115
E02000163,92.8888888888889,1.72549019607843,3.73856209150327,1.26797385620915,0.379084967320261,7.11111111111111,7053,597,92.1960784313726,7.80392156862745
E02000165,95.3158268275373,1.64655784244145,1.44783534421576,0.965223562810504,0.624556422995032,4.68417317246274,6671,374,94.6912704045422,5.30872959545777
E02006782,76.8305439330544,4.02719665271967,6.64225941422594,11.0355648535565,1.46443514644351,23.1694560669456,6326,1322,82.7144351464435,17.2855648535565
E02006787,84.4745851988412,4.793257835133,4.8590992889123,5.03028706873848,0.842770608375033,15.5254148011588,6558,1036,86.3576507769291,13.6423492230708
E02006789,95.9396390790293,1.85127566894835,1.08898568761668,0.855631611698818,0.264467952706907,4.06036092097075,6081,347,94.6017423771002,5.39825762289981
E02000166,79.3791014639071,6.38566380615851,5.76728924785462,5.72942958101969,2.73851590106007,20.6208985360929,5703,2221,71.9712266532055,28.0287733467946
E02000167,84.8187311178248,4.73313192346425,6.70946626384693,1.86304128902316,1.87562940584089,15.1812688821752,4917,3027,61.8957703927492,38.1042296072508
E02000168,78.218306412139,6.55898188937837,7.18306412139011,5.6779246206559,2.36172295643661,21.781693587861,5880,2292,71.9530102790015,28.0469897209985
E02000169,75.8805813801231,6.11496660992536,11.6930731962813,2.44860547335341,3.86277334031688,24.1194186198769,4215,3422,55.1918292523242,44.8081707476758
E02000170,74.3223794674982,5.64883665147517,10.9138882225953,4.58143439673783,4.53346126169345,25.6776205325018,4823,3515,57.8436075797553,42.1563924202447
E02000171,77.0785367101561,6.2036326426196,9.73394730110003,4.28498337170632,2.69889997441801,22.9214632898439,5095,2723,65.1701202353543,34.8298797646457
E02000172,62.5603626687691,6.9675766236326,14.5855918005322,12.0232581058441,3.86321080122204,37.4396373312309,6595,3552,64.9945796787228,35.0054203212772
E02000173,70.0977198697068,6.67100977198697,16.0130293159609,3.86970684039088,3.3485342019544,29.9022801302932,3693,3982,48.1172638436482,51.8827361563518
E02000174,67.8907505164104,5.4395226072986,12.7840257057608,10.0872159742942,3.79848519623594,32.1092494835896,5520,3194,63.3463392242369,36.6536607757631
E02000175,70.2983725135624,5.59448462929476,13.245931283906,7.43670886075949,3.4245027124774,29.7016274864376,4953,3895,55.9787522603978,44.0212477396022
E02000176,77.6871175270673,5.14671269417857,11.6271771536168,2.24384120508395,3.29515142005335,22.3128824729327,3251,3122,51.0120822218735,48.9879177781265
E02000177,64.0143048725972,5.91193562807331,13.8243182834153,12.3491282968261,3.90031291908806,35.9856951274028,5762,3186,64.3942780509611,35.6057219490389
E02000178,63.0800496782206,6.25493959579993,12.4308456588009,12.6679462571977,5.56621880998081,36.9199503217794,4838,4019,54.6234616687366,45.3765383312634
E02000179,66.6455996207932,5.57750039500711,14.56786222152,9.96997945963027,3.23905830304946,33.3544003792068,3573,2756,56.4544161794912,43.5455838205088
E02000180,66.0692514020971,5.9375762009266,14.5696171665447,10.960741282614,2.46281394781761,33.9307485979029,5119,3083,62.4116069251402,37.5883930748598
E02000181,75.7913855734302,4.46289569278672,12.8178515827711,3.8012454592631,3.12662169174883,24.2086144265698,4191,3517,54.3720809548521,45.6279190451479
E02000182,59.7133044646857,4.25563685232194,23.7270419590862,6.42078542631029,5.88323129759594,40.2866955353143,3006,3691,44.8857697476482,55.1142302523518
E02000183,77.2147099709339,5.15607228611146,8.92202704410464,5.71211929735878,2.99507140149122,22.7852900290661,4967,2946,62.7701251105775,37.2298748894225
E02000184,59.0069804098176,6.10222922765143,19.1060571943256,11.9455077685206,3.83922539968476,40.9930195901824,5180,3702,58.320198153569,41.679801846431
E02000185,57.9613992762364,5.27141133896261,14.2219541616405,14.4873341375151,8.05790108564536,42.0386007237636,4242,4048,51.1700844390832,48.8299155609168
E02000186,69.4332286526095,4.51622551218783,13.7879467623748,8.58381935097951,3.67877972184836,30.5667713473905,3689,2998,55.1667414386122,44.8332585613878
E02000187,47.0631514408338,5.51808706315144,28.1422440220723,15.0214592274678,4.25505824647456,52.9368485591662,4698,3457,57.608828939301,42.391171060699
E02000188,48.3898101417928,4.54217736121125,30.8219178082192,10.8026916606585,5.44340302811824,51.6101898582072,4566,3756,54.8666186012978,45.1333813987022
E02000189,45.3734858681023,6.00605652759085,30.2658142664872,14.6702557200538,3.68438761776581,54.6265141318977,2937,3007,49.4111709286676,50.5888290713324
E02000190,56.9853917662683,5.1925630810093,26.6268260292165,7.92828685258964,3.26693227091633,43.0146082337317,3791,3739,50.3452855245684,49.6547144754316
E02000191,56.7693744164332,4.50847005468854,27.5977057489663,6.3625450180072,4.76190476190476,43.2306255835668,3434,4063,45.8049886621315,54.1950113378685
E02000192,58.5161380466676,5.46318289786223,23.7948861254716,8.98421126170183,3.24158166829677,41.4838619533324,4123,3034,57.6079362861534,42.3920637138466
E02000193,64.3905635648755,5.49148099606815,20.9305373525557,5.3997378768021,3.78768020969856,35.6094364351245,3934,3696,51.5596330275229,48.4403669724771
E02000194,60.4415823367065,8.24517019319227,8.90064397424103,20.7911683532659,1.6214351425943,39.5584176632935,6174,2522,70.9981600735971,29.0018399264029
E02000195,46.1101398601399,6.34833916083916,23.0004370629371,22.0826048951049,2.45847902097902,53.8898601398601,5752,3400,62.8496503496504,37.1503496503497
E02000196,35.6071862758341,6.61893826826962,28.7180872619208,26.5703093340538,2.48547885992165,64.3928137241659,4250,3153,57.4091584492773,42.5908415507227
E02000197,35.8808005278205,7.33450626786892,26.8858588080053,27.6116120519023,2.2872223444029,64.1191994721795,5062,4032,55.6630745546514,44.3369254453486
E02000198,37.3234200743494,8.66171003717472,13.7050805452292,38.7856257744734,1.52416356877323,62.6765799256506,5192,2878,64.3370508054523,35.6629491945477
E02000199,33.4045077105575,8.64768683274021,11.6370106761566,44.2111506524318,2.09964412811388,66.5954922894425,5438,2992,64.5077105575326,35.4922894424674
E02000200,45.8162527128044,8.70508801543284,9.65758379551483,34.1451651796479,1.67591029659995,54.1837472871956,5557,2737,67.0002411381722,32.9997588618278
E02000201,39.8261079579761,9.47953145755344,8.71875377369883,40.1159280280159,1.85967878275571,60.1738920420239,5494,2787,66.3446443666224,33.6553556333776
E02000202,24.8479176415536,6.55124005615349,32.884885353299,33.949461862424,1.76649508656996,75.1520823584464,4500,4048,52.6438933083762,47.3561066916238
E02000203,29.0754742008224,7.65353495158509,20.4005836317814,40.0185701021356,2.85183711367555,70.9245257991776,4165,3374,55.2460538532962,44.7539461467038
E02000204,20.3359200595301,6.12309981928351,39.4493462315297,31.6253853513341,2.46624853832253,79.6640799404699,4950,4457,52.6203890719677,47.3796109280323
E02000206,36.4503616731314,9.07851976098124,13.8379285040361,38.4841178320579,2.14907222979348,63.5496383268686,6110,3429,64.0528357270154,35.9471642729846
E02000207,45.9606622958106,9.35659517724192,10.6789643293699,32.5147238582065,1.48905433937104,54.0393377041894,6575,2424,73.0636737415268,26.9363262584732
E02000208,28.2635342185904,7.84473953013279,27.5485188968335,33.2277834525025,3.11542390194076,71.7364657814096,5342,4448,54.5658835546476,45.4341164453524
E02000209,27.7275968623722,5.88305205609698,39.2797718088899,24.8752079866889,2.23437128595198,72.2724031376278,4541,3873,53.9695745186594,46.0304254813406
E02000210,57.1720818291215,8.31528279181709,12.4187725631769,20.7099879663057,1.38387484957882,42.8279181708785,6082,2228,73.1889290012034,26.8110709987966
E02000211,74.625,4.45,10.925,8.8125,1.1875,25.375,6580,1420,82.25,17.75
E02000212,29.7547811803356,6.64085415933357,36.806288865423,24.3810864718996,2.41698932300833,70.2452188196644,4451,4072,52.2233955180101,47.7766044819899
E02000213,33.3158831535965,8.37608627368862,25.6517642131714,29.3686524971207,3.28761386242278,66.6841168464035,5237,4314,54.8319547691341,45.1680452308659
E02000214,67.2225785760103,6.35022450288647,12.5080179602309,12.5561257216164,1.36305323925593,32.7774214239897,4828,1408,77.421423989737,22.578576010263
E02000215,54.4780376497433,8.10990682639285,20.697851302529,14.5845217722,2.12968244913482,45.5219623502567,6344,4174,60.3156493629968,39.6843506370032
E02000216,49.1985752448798,3.81418818640546,36.9100623330365,7.79162956366875,2.2855446720095,50.8014247551202,3783,2955,56.1442564559216,43.8557435440784
E02000217,52.3431048720066,9.2588769611891,15.8236994219653,20.1589595375723,2.41535920726672,47.6568951279934,6353,3335,65.5759702725021,34.4240297274979
E02000218,59.9698795180723,5.34638554216867,11.7319277108434,21.3855421686747,1.56626506024096,40.0301204819277,5066,1574,76.2951807228916,23.7048192771084
E02000219,73.9526411657559,4.07233931824096,13.7132448607858,7.45511319281811,0.806661462399167,26.0473588342441,6339,1347,82.4746291959407,17.5253708040593
E02000220,58.1520089059812,6.62888371622305,17.7107580204433,15.2919744965084,2.21637486084404,41.8479910940188,6244,3637,63.1919846169416,36.8080153830584
E02000221,53.8492871690428,7.23014256619145,16.6904276985743,19.857433808554,2.37270875763747,46.1507128309572,6910,2910,70.3665987780041,29.6334012219959
E02000222,69.1927512355849,6.2729692054239,13.1795716639209,9.77062476238753,1.5840831326828,30.8072487644152,6023,1868,76.3274616651882,23.6725383348118
E02000223,61.6294349540079,7.88436268068331,4.14526340938956,25.2896905984948,1.05124835742444,38.3705650459921,6639,1732,79.3095209652371,20.6904790347629
